Breed	Distance to unknown	p-values
boxer	0.0023902001792650562	1.0
Portuguese_Warren_dog,_small_size,_smooth_hair	0.002808485210636369	4.3303233578452556e-10
Azores_Cattle_dog	0.002569465192709841	6.053418010542051e-09
Aidi	0.002449955183746688	2.0550925220763288e-14
Portuguese_Sheepdog	0.0017926501344487367	7.441968148628126e-25
Estrela_Mountain_dog	0.0018524051389303686	7.441968148628126e-25
Portuguese_Warren_dog,_small_size,_weired_hair	0.0015536301165222088	5.905546209490528e-11
Portuguese_Warren_dog,_medium_size,_weired_hair	0.0017926501344487367	1.0892472607416632e-27
Mixed_breed_Nicaragua	0.0021511801613385284	1.676195394222055e-24
Camp_dog	0.002808485210636369	8.031034998915307e-23
Portuguese_Pointing_Dog-long_hair	0.0018524051389303686	6.13192517466244e-17
Portuguese_Pointing_Dog	0.0018524051389303686	6.283087766290116e-23
Algarve_Barrocal_Dog	0.002927995219599633	6.283087766290116e-23
Portuguese_Water_dog	0.0018524051389303686	6.283087766290116e-23
Mixed_breed_Brazil	0.002808485210636369	6.283087766290116e-23
Mixed_breed_Guatemala	0.002927995219599633	6.283087766290116e-23
Mixed_breed_Suriname	0.0019719151478936325	6.283087766290116e-23
Mixed_breed_Paraguay	0.002808485210636369	6.283087766290116e-23
Sloughi	0.002509710188228209	6.734179105138768e-23
German_Shepherd_cross	0.002688975201673105	6.760537663703171e-23
Husky	0.002868240215118001	2.242597565202305e-13
Gambian_local	0.0031670152375261607	6.077719619222221e-20
Mixed_breed_India	0.0030475052285628967	3.2054214104695853e-13
Terrier_cross	0.0020914251568568965	3.2048335538218054e-13
English_Pointer	0.0019719151478936325	3.215251916953363e-20
Mixed_breed_Russia	0.0017328951299671047	3.2048335538218054e-13
German_Shepherd	0.0019719151478936325	5.5072347861168294e-21
Mixed_breed_Kenya	0.0017328951299671047	3.590062199586309e-23
Dachshund	0.002509710188228209	1.6237878179234216e-09
Canis_Panther	0.0019121601434120006	1.5591842502358634e-16
Castro_Laboreiro_Watchdog	0.0023902001792650562	1.5591842502358634e-16
German_shepherd	0.0018524051389303686	4.95066789453923e-16
Indian_local	0.002748730206154737	1.9758549422837793e-27
Rottweiler_cross	0.0019719151478936325	1.5591842502358634e-16
Miniature_Schnauzer	0.002688975201673105	1.913008362030476e-18
EpagneulBreton	0.0031072602330445287	4.05979807042959e-21
Great_Dane_cross	0.0020316701523752645	9.710105012756066e-24
Mixed_breed_Belize	0.0020316701523752645	7.525240883262263e-26
Mixed_breed_Greece	0.0019121601434120006	9.558875281208982e-27
Staffordshire_Bull_Terrier	0.0020316701523752645	1.1184296332764775e-22
Brazilian_Terrier	0.0019121601434120006	5.531483083469624e-27
Mixed_breed_South Africa	0.0020914251568568965	3.273402850581097e-20
Mastiff	0.002569465192709841	3.2711822086767456e-24
Black_Retriever	0.0019719151478936325	3.2707985380310254e-24
Cocker_Spaniel	0.0021511801613385284	1.4864538420694756e-23
Pit_bull	0.0021511801613385284	3.516642842197817e-25
Irish_Soft_Coated_Wheaten_Terrier	0.0018524051389303686	1.7346438629384042e-25
Shar_Pei	0.002748730206154737	5.611176315005406e-21
English_Springer_Spaniel	0.001434120107559056	5.611176315005406e-21
